Maleta Vineyards,Niagara-on-the-Lake,905-685-8486,http://www.maletawinery.com,450 Queenston Road,-79.15885435,43.16472914
Kittling Ridge Wines & Spirits,Grimsby,905-945-9225,http://www.kittlingridge.com,297 South Service Road,-79.58326789,43.20286724
Andres Wines,Grimsby,905-643-4131,http://www.andrewpeller.com,697 South Service Road,-79.62151614,43.21228481
Crown Bench Estate Winery,Lincoln,905-563-3959,http://www.crownbenchestates.com,3850 Aberdeen Road,-79.46457717,43.14476772
Ridgepoint Wines,Lincoln,905-562-8853,http://www.ridgepointwines.com,3900 Cherry Avenue,-79.41584662,43.1481142
Royal Demaria Wines,Lincoln,905-562-6767,http://www.royaldemaria.com,4551 Cherry Avenue,-79.41291178,43.17790082
Ferndale Vineyards Inc.,Lincoln,905-562-3494,,3026 Eighth Avenue,-79.37406966,43.11381353
Creekside Estate Winery,Lincoln,905-562-0035,http://www.creeksidewine.com/,2170 Fourth Avenue,-79.33287084,43.15217076
Harbour Estates Winery,Lincoln,905-562-6279,http://www.hewwine.com,4362 Jordan Road,-79.36180075,43.17384157
Stoney Ridge Cellars,Lincoln,905-562-1324,http://www.stoneyridge.com,3201 King Street,-79.38231437,43.1485875
Kacaba Vineyards,Lincoln,905-562-5625,http://www.kacaba.com,3550 King Street,-79.40051751,43.15124364
Wayne Gretzky Estates Winery ,Lincoln,905-562-4945,http://www.gretzky.com/wine/,3751 King Street,-79.41164261,43.1585037
Thomas & Vaughan Vintners,Lincoln,905-563-7737,http://www.frugal-wine.com/wineries/t-and-v.html,4245 King Street,-79.43795134,43.15927265
Malivoire Wine Company,Lincoln,905-563-9253,http://www.malivoirewineco.com,4260 King Street,-79.43847211,43.15782658
Daniel Lenko Winery,Lincoln,905-563-7756,http://www.daniellenko.com,5246 King Street,-79.4897157,43.16918132
Peninsula Ridge Estates Winery Ltd.,Lincoln,905-563-0900,http://www.peninsularidge.com,5600 King Street,-79.50912268,43.17670204
Cave Spring Cellars,Lincoln,905-562-3581,http://www.cavespring.ca,3836 Main Street,-79.37013487,43.1488115
Mountain Road Wine Company,Lincoln,905-563-0745,http://www.mountainroadwine.com,4016 Mountain Street,-79.47987155,43.15386757
Angels Gate Winery,Lincoln,905-563-3942,http://www.angelsgatewinery.com,4260 Mountainview Road,-79.50026283,43.16449879
Thirty Bench Vineyards,Lincoln,905-563-1698,http://www.thirtybench.com,4281 Mountainview Road,-79.49565386,43.1660034
Vineland Estates Winery,Lincoln,905-562-7088,http://www.vineland.com,3620 Moyer Road,-79.40544094,43.14253164
Maple Grove Vinoteca Estate Winery,Lincoln,905-562-7415,,4063 North Service Road,-79.42894662,43.18826507
Magnotta Winery Estates Ltd.,Lincoln,905-563-5313,http://www.magnotta.com,4701 Ontario Street,-79.47623079,43.18495085
Legends Estate Winery,Lincoln,905-563-6500,http://www.legendsestates.com,4888 Ontario Street,-79.47756604,43.19445984
De Sousa Wine Cellars,Lincoln,905-563-7269,http://www.desousawines.com,3753 Quarry Road,-79.45821901,43.14151855
Flat Rock Cellars,Lincoln,905-562-8994,http://www.flatrockcellars.com,2727 Seventh Avenue,-79.35984075,43.12639633
Thirteenth Street Wine Company,Lincoln,905-562-9463,http://www.13thstreetwines.com,3983 Thirteenth Street,-79.33829868,43.15728572
Featherstone Estate Winery & Vineyard,Lincoln,905-562-1949,http://www.featherstonewinery.ca,3678 Victoria Avenue,-79.3946348,43.14002925
Marynissen Estates,Niagara-on-the-Lake,905-468-7270,http://www.marynissen.com,1208 Concession 1 Road,-79.07215676,43.20577983
Coyote's Run Estate Winery,Niagara-on-the-Lake,905-682-8310,http://www.coyotesrunwinery.com,485 Concession 5 Road,-79.11876704,43.16965827
Peller Estate Winery,Niagara-on-the-Lake,905-468-4678,http://www.peller.com,1444 East and West Line,-79.06704631,43.23854864
Domaine Vagners Winery,Niagara-on-the-Lake,905-468-7296,,1973 Four Mile Creek Road,-79.12717092,43.23660771
Stonechurch Vineyards,Niagara-on-the-Lake,905-935-3535,http://www.stonechurch.com,1242 Irvine Road,-79.17178994,43.22460393
Palatine Hills Estate,Niagara-on-the-Lake,905-646-9617,https://palatinehillsestatewinery.com/,911 Lakeshore Road,-79.15066007,43.24414568
Konzelmann Estate Winery,Niagara-on-the-Lake,905-935-2866,http://www.konzelmannwines.com,1096 Lakeshore Road,-79.14134771,43.25021651
Strewn Winery,Niagara-on-the-Lake,905-468-1229,http://www.strewnwinery.com,1339 Lakeshore Road,-79.12577896,43.25256363
Sunnybrook Farm Estate Winery,Niagara-on-the-Lake,905-468-1122,http://www.sunnybrookfarmwinery.com,1425 Lakeshore Road,-79.12031308,43.25257959
Frogpond Farm,Niagara-on-the-Lake,905-468-1079,http://www.frogpondfarm.ca,1385 Larkin Road,-79.07137377,43.19991632
Caroline Cellars,Niagara-on-the-Lake,905-468-8814,http://www.carolinecellars.com/,1028 Line 2 Road,-79.09747395,43.21918892
Inniskillin Wines Inc.,Niagara-on-the-Lake,905-468-2187,http://www.inniskillin.com,1499 Line 3 Road,-79.06346265,43.2101525
Riverview Cellars,Niagara-on-the-Lake,905-262-0636,http://www.riverviewcellars.com,15370 Niagara River Parkway,-79.05940831,43.20577235
Lailey Vineyard Wines Inc.,Niagara-on-the-Lake,905-468-0503,http://www.laileyvineyard.com,15940 Niagara River Parkway,-79.06310645,43.23176906
Hillebrand Estate Winery,Niagara-on-the-Lake,905-468-7123,http://www.hillebrand.com,1249 Niagara Stone Road,-79.1334874,43.21251557
Pillitteri Estates Winery,Niagara-on-the-Lake,905-468-3147,http://www.pillitteri.com,1696 Niagara Stone Road,-79.11388561,43.22921709
Joseph's Estate Wines,Niagara-on-the-Lake,905-468-1259,http://www.josephsestatewines.com,1799 Niagara Stone Road,-79.10782786,43.23242546
Stratus Winery,Niagara-on-the-Lake,905-468-1806,http://www.stratuswines.com,2059 Niagara Stone Road,-79.09662513,43.24076566
Jackson-Triggs Niagara Estate,Niagara-on-the-Lake,905-468-4637,http://www.jacksontriggswinery.com,2145 Niagara Stone Road,-79.0917968,43.24381392
Chateau des Charmes,Niagara-on-the-Lake,905-262-4219,http://www.chateaudescharmes.com,1025 York Road,-79.1250862,43.15589151
Henry of Pelham Family Estate Winery,Pelham,905-684-8423,http://www.henryofpelham.com,1469 Pelham Road,-79.2957264,43.10873119
Hernder Estate Wines,St. Catharines,905-684-3300,http://www.hernder.com,1607 Eighth Avenue Louth,-79.30342453,43.11876344
Harvest Estate Wines,St. Catharines,905-682-0080,http://www.harvestwines.com,1179 Fourth Avenue,-79.27679823,43.15575002
Fielding Wines Ltd.,Lincoln,905-563-0668,http://www.fieldingwines.com,4020 Locust Lane,-79.49548846,43.15219217
Niagara College Teaching Winery,Niagara-on-the-Lake,905-641-2252,http://www.nctwinery.ca/,135 Taylor Road,-79.16427323,43.15195809
Reif Estate Winery,Niagara-on-the-Lake,905-468-7738,http://www.reifwinery.com,15608 Niagara Parkway,-79.06120105,43.21748512
Rockway Glen Estate Winery,Lincoln,905-641-5771,http://www.rockwayglen.com,3290 Ninth Street,-79.31900922,43.12591821
Tawse Family Winery,Lincoln,905-563-6998,http://www.tawsewinery.ca,3955 Cherry Avenue,-79.41160579,43.15149498
The Organized Crime Winery,Lincoln,905-563-9802,http://www.organizedcrimewine.com/,4043 Mountainview Road,-79.49489098,43.15648559
John Howard Cellars of Distinction,Lincoln,not available,http://www.megalomaniacwine.com/main.php,4352 Tintern Road,-79.42544913,43.14822406
Rosewood Estates Winery and Meadery,Lincoln,905-563-4383,http://www.rosewoodwine.com,4352 Mountainview Road,-79.50059349,43.16672116
Le Clos Jordane,Lincoln,905-562-9404,http://www.leclosjordanne.com/,2540 South Service Road,-79.3522673,43.17859417
Alvento Winery,Lincoln,905-562-1212,http://www.alvento.ca/,3048 Second Avenue,-79.37607344,43.17090985
Calamus Estate Winery ,Lincoln,905-562-9303,http://www.calamuswines.com/,3100 Glen Road,-79.37899579,43.1301999
Cornerstone Estate Winery,Lincoln,905-563-6758,http://www.cornerstonewinery.com/ ,4390 Tufford Road,-79.44668526,43.17175915
Hidden Bench Vineyards and Winery,Lincoln,905-563-8700,http://www.hiddenbench.com/,4152 Locust Lane,-79.49217508,43.1587584
Cattail Creek Family Estate Winery ,Niagara-on-the-Lake,905-988-9463,http://www.cattailcreek.ca/,1156 Concession 6 Road,-79.13589528,43.20105591
Vignoble Rancourt Winery ,Niagara-on-the-Lake,905-468-2882,http://www.rancourtwinery.com/EN/index.html,1829 Concession 4 Road ,-79.1111689,43.23540153
The Ice House Winery ,Niagara-on-the-Lake,905-262-6161,http://www.theicehouse.ca/,14778 Niagara River Parkway,-79.06208071,43.1781454
Southbrook Vineyards,Niagara-on-the-Lake,905-641-2548,http://southbrook.com/,581 Niagara Stone Road,-79.16401048,43.1889973